cellid,frequency,signalstrength,longitutde,latitude
12562,932400000,-26,"52,078576N","4,310532E"
12562,932400000,-41,"52,086539N","4,304249E"
12562,932400000,-29,"52,082243N","4,311228E"
12562,932400000,-41,"52,082332N","4,311664E"
12562,932400000,-33,"52,082126N","4,310819E"
61758,928800000,-30,"52,078576N","4,310532E"
533,930400000,-31,"52,078620N","4,310509E"
12492,933600000,-50,"52,087056N","4,301430E"
573,934400000,-38,"52,078998N","4,310428E"
62617,928200000,-42,"52,078998N","4,310428E"
563,934800000,-34,"52,082126N","4,310819E"
16051,923600000,-27,"52,078998N","4,310428E"
16051,923600000,-27,"52,078620N","4,310509E"
16051,923600000,-31,"52,087021N","4,300905E"
16051,923600000,-29,"52,082332N","4,311664E"
16063,924200000,-30,"52,078576N","4,310532E"
16063,924200000,-34,"52,086299N","4,301595E"
16063,924200000,-29,"52,082126N","4,310819E"
